Ticker,Name,Sector,Industry,Country
BATS.L,British American Tobacco,Consumer Defensive,Tobacco,United Kingdom
HSBA.L,HSBC,Financial Services,Banks - Diversified,United Kingdom
BARC.L,Barclays,Financial Services,Banks - Diversified,United Kingdom
IHG.L,InterContinental,Consumer Cyclical,Lodging,United Kingdom
BP.L,BP,Energy,Oil & Gas Integrated,United Kingdom
NEXT,Next,Energy,Oil & Gas Equipment & Services,United States
LLOY.L,Lloyds Banking,Financial Services,Banks - Regional,United Kingdom
MKS.L,Marks & Spencer,Consumer Cyclical,Department Stores,United Kingdom
BKRIY,Bank Ireland,Financial Services,Banks - Regional,Ireland
RBSPF,NatWest Group,Financial Services,Banks - Regional,United Kingdom
PRU.L,Prudential,Financial Services,Insurance - Life,Hong Kong
INGA.AS,ING Groep,Financial Services,Banks - Diversified,Netherlands
SHELL.AS,Shell,Energy,Oil & Gas Integrated,United Kingdom
HEIA.AS,Heineken,Consumer Defensive,Beverages - Brewers,Netherlands
0P0000UAHH.L,Aegon,N/A,N/A,N/A
PHIA.AS,Philips,Healthcare,Medical Devices,Netherlands
TIT.MI,Telecom Italia,Communication Services,Telecom Services,Italy
STLAP.PA,Stellantis NV,Consumer Cyclical,Auto Manufacturers,Netherlands
G.MI,Assicurazioni Generali,Financial Services,Insurance - Diversified,Italy
SNMRY,Snam,Utilities,Utilities - Regulated Gas,Italy
2PI.F,Pirelli & C,Consumer Cyclical,Auto Parts,Italy
ADEN.SW,Adecco N,Industrials,Staffing & Employment Services,Switzerland
CFR.SW,Richemont,Consumer Cyclical,Luxury Goods,Switzerland
0P0001CN9T.SW,Julius Baer,N/A,N/A,N/A
ABBN.SW,ABB,Industrials,Electrical Equipment & Parts,Switzerland
HLBN.SG,Holcim,N/A,N/A,N/A
LTEC.DE,Logitech,Technology,Computer Hardware,Switzerland
CLRN.DE,Clariant,Basic Materials,Specialty Chemicals,Switzerland
ZURN.SW,Zurich Insurance Group,Financial Services,Insurance - Diversified,Switzerland
UHR.SW,Swatch Group,Consumer Cyclical,Luxury Goods,Switzerland
SLW.F,Swiss Life Holding,Financial Services,Insurance - Diversified,Switzerland
NOVN.SW,Novartis,Healthcare,Drug Manufacturers - General,Switzerland
NESN.SW,Nestle,Consumer Defensive,Packaged Foods,Switzerland
SREN.SW,Swiss Re,Financial Services,Insurance - Reinsurance,Switzerland
LONN.SW,Lonza Group,Healthcare,Diagnostics & Research,Switzerland
SWJA.F,Swisscom,Communication Services,Telecom Services,Switzerland
BAS.DE,BASF,Basic Materials,Chemicals,Germany
BAYN.DE,Bayer,Healthcare,Drug Manufacturers - General,Germany
ALV.DE,Allianz,Financial Services,Insurance - Diversified,Germany
ADS.DE,Adidas,Consumer Cyclical,Footwear & Accessories,Germany
LHA.DE,Lufthansa,Industrials,Airlines,Germany
SIE.DE,Siemens AG,Industrials,Specialty Industrial Machinery,Germany
DBK.DE,Deutsche Bank AG,Financial Services,Banks - Regional,Germany
CON.DE,Continental AG,Consumer Cyclical,Auto Parts,Germany
DHL.DE,Deutsche Post,Industrials,Integrated Freight & Logistics,Germany
MBG.DE,Mercedes Benz Group,Consumer Cyclical,Auto Manufacturers,Germany
P911.DE,Porsche,Consumer Cyclical,Auto Manufacturers,Germany
CBK.DE,Commerzbank,Financial Services,Banks - Regional,Germany
1DB1.MI,Deutsche Boerse,Financial Services,Financial Data & Stock Exchanges,Germany
NHYDY,Norsk Hydro,Basic Materials,Aluminum,Norway
MOWI.OL,Mowi,Consumer Defensive,Farm Products,Norway
OSPA39-PRO.OL,Orkla,N/A,N/A,N/A
EQNR,Equinor,Energy,Oil & Gas Integrated,Norway
TOM.OL,Tomra Systems,Industrials,Waste Management,Norway
0P0001RP7U.CO,Storebrand,N/A,N/A,N/A
TEL.OL,Telenor,Communication Services,Telecom Services,Norway
YAR.OL,Yara International,Basic Materials,Agricultural Inputs,Norway
SUBC.OL,Subsea 7,Energy,Oil & Gas Equipment & Services,Luxembourg
AF.PA,Air France KLM,Industrials,Airlines,France
AC.PA,Accor,Consumer Cyclical,Lodging,France
AI.PA,Air Liquide,Basic Materials,Specialty Chemicals,France
CAP.PA,Capgemini,Technology,Information Technology Services,France
